Sample ID,IGSN       ,Longitude,Latitude,Geologic Entity,Geologic Period,"Rock Type (IG, DZ)",Material,Notes,Future Data?,Analyst Name,Origin,Metadata URL    ,
14IY01,,-125.429,50.7144,,,,zircon,,,R Cecil,GeoChron,,
14IY02,,-125.519,50.6641,,,,zircon,,,R Cecil,GeoChron,,
14IY04,,-125.556,50.6196,,,,zircon,,,R Cecil,GeoChron,,
14IY03,,-125.557,50.606,,,,zircon,,,R Cecil,GeoChron,,
14IY11,,-124.906,50.8456,,,,zircon,,,R Cecil,GeoChron,,
14IY13,,-124.948,50.8334,,,,zircon,,,R Cecil,GeoChron,,
14IY14,,-124.896,50.8104,,,,zircon,,,R Cecil,GeoChron,,
14IY18,,-124.904,50.7769,,,,zircon,,,R Cecil,GeoChron,,
14IY23,,-124.892,50.7248,,,,zircon,,,R Cecil,GeoChron,,
14IY24,,-124.912,50.6906,,,,zircon,,,R Cecil,GeoChron,,
14IY25,,-124.924,50.6665,,,,zircon,,,R Cecil,GeoChron,,
14IY31,,-124.931,50.554,,,,zircon,,,R Cecil,GeoChron,,
14IY32,,-124.98,50.4987,,,,zircon,,,R Cecil,GeoChron,,
14IY36,,-124.991,50.5405,,,,zircon,,,R Cecil,GeoChron,,
14IY38,,-125.063,50.5118,,,,zircon,,,R Cecil,GeoChron,,
14IY39,,-125.082,50.5074,,,,zircon,,,R Cecil,GeoChron,,
14IY40,,-124.896,50.5592,,,,zircon,,,R Cecil,GeoChron,,
14IY42,,-125.051,50.4627,,,,zircon,,,R Cecil,GeoChron,,
14IY44,,-125.117,50.4131,,,,zircon,,,R Cecil,GeoChron,,
14MR44,,-125.048,51.2942,,,,zircon,,,R Cecil,GeoChron,,
14MR53,,-125.064,51.2532,,,,zircon,,,R Cecil,GeoChron,,
14MR55,,-125.14,51.1829,,,,zircon,,,R Cecil,GeoChron,,
14MR61,,-125.146,51.2502,,,,zircon,,,R Cecil,GeoChron,,
14MR68,,-125.127,51.0611,,,,zircon,,,R Cecil,GeoChron,,
14MR69,,-124.968,51.0144,,,,zircon,,,R Cecil,GeoChron,,
14MR70,,-124.878,51.001,,,,zircon,,,R Cecil,GeoChron,,
14MR71,,-124.769,51.0567,,,,zircon,,,R Cecil,GeoChron,,
14MR72,,-124.542,51.1055,,,,zircon,,,R Cecil,GeoChron,,
14MR73,,-124.126,51.0904,,,,zircon,,,R Cecil,GeoChron,,
15BCKH13,,-125.517,50.9233,,,,zircon,,,R Cecil,GeoChron,,
15GK37,,-126.213,50.5603,,,,zircon,,,R Cecil,GeoChron,,
15KN03,,-126.647,50.6414,,,,zircon,,,R Cecil,GeoChron,,
15KN06,,-126.506,50.6424,,,,zircon,,,R Cecil,GeoChron,,
15KN13,,-126.38,50.6546,,,,zircon,,,R Cecil,GeoChron,,
15KN30,,-125.906,50.6909,,,,zircon,,,R Cecil,GeoChron,,
15KN38A,,-125.784,50.7052,,,,zircon,,,R Cecil,GeoChron,,
15KN38B,,-125.784,50.7052,,,,zircon,,,R Cecil,GeoChron,,
15KN69B,,-125.638,50.8894,,,,zircon,,,R Cecil,GeoChron,,
15KN90,,-125.686,50.7761,,,,zircon,,,R Cecil,GeoChron,,
15KS01,,-126.679,50.6093,,,,zircon,,,R Cecil,GeoChron,,
15KS58,,-125.53,50.9804,,,,zircon,,,R Cecil,GeoChron,,
15KS64,,-125.539,51.0457,,,,zircon,,,R Cecil,GeoChron,,
15KS78,,-125.63,50.8605,,,,zircon,,,R Cecil,GeoChron,,
15KS79,,-125.606,50.8104,,,,zircon,,,R Cecil,GeoChron,,
15KS80,,-125.869,50.6681,,,,zircon,,,R Cecil,GeoChron,,
15KS81,,-126.022,50.663,,,,zircon,,,R Cecil,GeoChron,,
15KS82,,-126.056,50.6591,,,,zircon,,,R Cecil,GeoChron,,
15KS83,,-126.104,50.6458,,,,zircon,,,R Cecil,GeoChron,,
15MR28,,-124.92,50.8941,,,,zircon,,,R Cecil,GeoChron,,
15MR31,,-124.48,50.9285,,,,zircon,,,R Cecil,GeoChron,,
15MR42,,-124.5,51.2326,,,,zircon,,,R Cecil,GeoChron,,
2727R02,,-125.205,51.6795,,,,zircon,,,R Cecil,GeoChron,,
01MR03,,-126.301,50.5141,,,,zircon,,,R Cecil,GeoChron,,
01MR11P,,-125.987,50.6367,,,,zircon,,,R Cecil,GeoChron,,
01MR31,,-125.655,50.7736,,,,zircon,,,R Cecil,GeoChron,,
01MR66P,,-126.177,50.6683,,,,zircon,,,R Cecil,GeoChron,,
11GC10,,-127.658,51.0885,,,,zircon,,,R Cecil,GeoChron,,
07GC213,,-128.125,51.675,,,,zircon,,,R Cecil,GeoChron,,
07GC221,,-126.425,51.6593,,,,zircon,,,R Cecil,GeoChron,,
07GC222,,-127.889,51.6934,,,,zircon,,,R Cecil,GeoChron,,
11GC11,,-127.571,51.0912,,,,zircon,,,R Cecil,GeoChron,,
11GC12,,-127.278,51.0544,,,,zircon,,,R Cecil,GeoChron,,
11GC13,,-126.937,51.0785,,,,zircon,,,R Cecil,GeoChron,,
11GC14,,-127.102,51.0761,,,,zircon,,,R Cecil,GeoChron,,
11GC17,,-126.67,51.1653,,,,zircon,,,R Cecil,GeoChron,,
11GC19,,-126.744,51.1136,,,,zircon,,,R Cecil,GeoChron,,
11GC20,,-126.785,51.0884,,,,zircon,,,R Cecil,GeoChron,,
DTB17-14   (IGSNID: IEDTB0004),,-114.404,44.4366,,,,Zircon,,,Daniel Brennan,GeoChron,,
4PL14   (IGSNID: IEDTB000H),,-114.249,44.4107,,,,Zircon,,,Paul Link,GeoChron,,
17NK15   (IGSNID: IEDTB000H),,-114.441,44.393,,,,Zircon,,,Paul Link,GeoChron,,
15NK15   (IGSNID: IEDTB000G),,-114.471,44.3273,,,,Zircon,,,Paul Link,GeoChron,,
10NK15   (IGSNID: IEDTB000F),,-114.385,44.2756,,,,Zircon,,,Paul Link,GeoChron,,
5NK15   (IGSNID: IEDTB000E),,-114.481,44.416,,,,Zircon,,,Paul Link,GeoChron,,
5TA09   (IGSNID: IEDTB000C),,-114.438,44.2609,,,,Zircon,,,Paul Link,GeoChron,,
4TA09   (IGSNID: IEDTB000B),,-114.438,44.2609,,,,Zircon,,,Paul Link,GeoChron,,
3TA09   (IGSNID: IEDTB000A),,-114.471,44.3215,,,,Zircon,,,Paul Link,GeoChron,,
2TA09   (IGSNID: IEDTB0009),,-114.384,44.4098,,,,Zircon,,,Paul Link,GeoChron,,
DTB17-19   (IGSNID: IEDTB0007),,-114.327,44.2737,,,,Zircon,,,Daniel Brennan,GeoChron,,
1TA09   (IGSNID: IEDTB0008),,-114.396,44.4099,,,,Zircon,,,Paul Link,GeoChron,,
DTB17-18   (IGSNID: IEDTB0006),,-114.416,44.2633,,,,Zircon,,,Daniel Brennan,GeoChron,,
DTB17-17   (IGSNID: IEDTB0005),,-114.403,44.2596,,,,Zircon,,,Daniel Brennan,GeoChron,,
DTB17-11   (IGSNID: IEDTB0003),,-114.4,44.4405,,,,Zircon,,,Daniel Brennan,GeoChron,,
DTB17-04   (IGSNID: IEDTB0001),,-114.348,44.4842,,,,Zircon,,,Daniel Brennan,GeoChron,,
DTB17-05   (IGSNID: IEDTB0002),,-114.391,44.4519,,,,Zircon,,,Daniel Brennan,GeoChron,,
AE-1,IEUAZ0003,-75.5233,6.22631,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0003,
AMI-2,IEUAZ0004,-75.4984,6.31544,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0004,
LPP-1,IEUAZ0002,-75.5957,6.31006,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0002,
QS-1,IEUAZ0001,-75.5385,6.34836,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0001,
SML-1,IEUAZ0006,-75.5191,6.24264,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0006,
TNL-1,IEUAZ0005,-75.4898,6.32517,,,,Zircon,,,Mauricio Ibañez-Mejia,GeoChron,http://www.geochron.org/viewid.php?id=IEUAZ0005,
FC-AC18-1,IEFCF0001,-110.771,31.6877,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0001,
FC-AC18-4,IEFCF0001,-110.766,31.6943,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0001,
FC-BCY18-1,IEFCF0006,-110.463,31.5113,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0006,
FC-BCY18-2,IEFCF0007,-110.473,31.515,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0007,
FC-CC18-1,IEFCF0003,-110.778,31.7182,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0003,
FC-HC18-1,IEFCF0004,-110.763,31.7039,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0004,
FC-HC18-2,IEFCF0005,-110.761,31.7054,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0005,
FC-CC18-3,IEFCF000C,-110.784,31.7172,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF000C,
JG-18,IEFCF0009,-110.881,31.3918,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0009,
PG-18-1,IEFCF0008,-110.829,31.7812,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF0008,
SF-MF-2,IEFCF000B,-110.694,31.897,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF000B,
SF-RJ-1,IEFCF000A,-110.729,31.8374,,,,Zircon,,,Emilia Caylor,GeoChron,http://www.geochron.org/viewid.php?id=IEFCF000A,
HLY1202-DR5-003,ECS000012,-161.346,77.8138,,,,Zircon,,,Tim Obrien,GeoChron,http://www.geochron.org/viewid.php?id=ECS000012,
HLY1202-DR5-004,ECS000012,-161.346,77.8138,,,,Zircon,,,Tim Obrien,GeoChron,http://www.geochron.org/viewid.php?id=ECS000012,
BRJR13-HF3,IETMO0001,-152.384,67.7604,,,,Zircon,,,Tim Obrien,GeoChron,http://www.geochron.org/viewid.php?id=IETMO0001,
101517AL1,,-112.966,46.5205,,,,Zircon,,,Caden Howlett,GeoChron,,
101517AL2,,-112.945,46.5279,,,,Zircon,,,Caden Howlett,GeoChron,,
101517AL3,,-112.925,46.4728,,,,Zircon,,,Caden Howlett,GeoChron,,
101517AL4,,-112.918,46.5241,,,,Zircon,,,Caden Howlett,GeoChron,,
CPCP52-2no29,SSX.IEAZL000P,-110.912,32.2535,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL000P,
CPCP 327-2 no16,SSX.IEAZL000R,-110.912,32.2535,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL000R,
CPCP261-1 no18,SSX.IEAZL000V,0,0,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL000V,
CPCP327-2 no18,SSX.IEAZL000X,0,0,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL000X,
CPCP66-1,SSX.IEAZL0011,0,0,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL0011,
CPCP287-2 no19,SSX.IEAZL001H,-109.795,35.0859,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL001H,
287-2 no19,SSX.IEAZL001J,-110.795,35.0859,,,,other,,,Dan,GeoChron,http://www.geochron.org/viewid.php?id=SSX.IEAZL001J,
09-056,GEG00012S,32.5952,60.0542,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG00012S,
R03-AP-25,GEG00010L,142.59,64.8722,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG00010L,
CPCP 52-2,,-109.796,35.0859,,,,Zircon,,,George Gehrels,GeoChron,,
JCF09-237B,,-72.1867,-51.3034,,,,zircon,,,Julie Fosdick,GeoChron,,
RRK_11M,,-112.007,45.0512,,,,Zircon,,,Justin Rosenblume,GeoChron,,
12RHS01,,-68.5225,-30.1568,,,,zircon,,,Julie Fosdick,GeoChron,,
IEMCC000A: 08-209,,-72.7325,82.6821,,,,Zircon,,,Bill McClelland,GeoChron,,
TRD,,-112.569,45.462,,,,Zircon,,,Cole Gardner,GeoChron,,
08 DH 01 A,GEG00010N,134.969,69.7547,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG00010N,
XOM-AOS-16,GEG00015V,-110.532,54.5679,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00015V,
XOM-GOM-9,GEG00016L,-88.6865,31.6803,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00016L,
XOM-GOM-79,GEG00018Y,-93.5755,31.224,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00018Y,
AC-10,,-112.675,44.8152,,,,Zircon,,,Emily Finzel,GeoChron,,
XOM-GOM-48,GEG00017U,-94.41,33.571,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00017U,
08DH03,GEG00010X,135.226,69.7819,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG00010X,
RT28DZ7,,-72.2358,-51.2976,,,,zircon,,,Julie Fosdick,GeoChron,,
BMC-1,,-116.557,34.0074,,,,zircon,,,Julie Fosdick,GeoChron,,
XOM-GOM-77,GEG00018W,-92.7285,31.5594,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00018W,
XOM-GOM-55,GEG00018A,-97.2622,32.4077,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00018A,
XOM-GOM-18,GEG00016S,-87.0409,32.1361,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00016S,
XOM-GOM-78,GEG00018X,-93.1921,31.48,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00018X,
04AP226,GEG00010K,141.456,64.577,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG00010K,
J05-VC2,GEG0000QZ,-107.586,37.6789,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG0000QZ,
GR12-01,,-112.919,46.22,,,,zircon,,,Amy Weislogel,GeoChron,,
MCP-13,,-116.66,34.0309,,,,zircon,,,Julie Fosdick,GeoChron,,
XOM-GOM-58,GEG00018D,-97.8835,28.9904,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00018D,
RR3,,-111.808,45.7412,,,,zircon,,,Amy Weislogel,GeoChron,,
18MT-17,,-112.589,44.4959,,,,Zircon,,,Emily Finzel,GeoChron,,
18AOD07,,56.6841,-129.658,,,,Zircon,,,Daniel Alberts,GeoChron,,
IEMCC0006: 08-174,,-78.9652,82.7302,,,,Zircon,,,Bill McClelland,GeoChron,,
TCB‐205,,-149.129,63.2046,,,,Zircon,,,Brian A. Hampton,GeoChron,,
IEMCC0003: 08-161,,-76.0144,82.5645,,,,Zircon,,,Bill McClelland,GeoChron,,
XOM-AOS-6,GEG00015Q,-110.627,54.6151,,,,zircon,,,Blum,GeoChron,http://www.geochron.org/viewid.php?id=GEG00015Q,
Q4u,GEG0000QW,-107.944,44.12,,,,zircon,,,GGehrels,GeoChron,http://www.geochron.org/viewid.php?id=GEG0000QW,
